Row_Col_Event,EventTime,ConfidenceIndex,QualityLevel
r4_c2_ev8,0.62138,0.9318,High
r4_c2_ev9,0.673,0.99941,High
r4_c2_ev10,0.77,0.99965,High
r4_c2_ev11,0.876,0.99969,High
r4_c2_ev12,0.97601,0.9784,High
r4_c3_ev1,0.054936,0.99595,High
r4_c3_ev2,0.155,0.99963,High
r4_c3_ev3,0.25801,0.99982,High
r4_c3_ev4,0.363,0.99974,High
r4_c3_ev5,0.465,0.99966,High
r4_c3_ev6,0.563,0.99964,High
r4_c3_ev7,0.67099,0.99957,High
r4_c3_ev8,0.73838,0.93169,High
r4_c3_ev9,0.77399,0.99913,High
r4_c3_ev10,0.878,0.99987,High
r4_c3_ev11,0.942,0.78838,Indeterminant
r4_c3_ev12,0.97601,0.99594,High
r4_c4_ev1,0.466,0.99965,High
r4_c4_ev2,0.814,0.78819,Indeterminant
r4_c4_ev3,0.82841,0.93406,High
r4_c5_ev1,0.151,0.99953,High
r4_c5_ev2,0.26099,0.99958,High
r4_c5_ev3,0.318,0.7898,Indeterminant
r4_c5_ev4,0.463,0.99977,High
r4_c5_ev5,0.567,0.99962,High
r4_c5_ev6,0.673,0.99969,High
r4_c5_ev7,0.87496,0.99984,High
r4_c5_ev8,0.9444,0.93029,High
r4_c6_ev1,0.054103,0.99957,High
r4_c6_ev2,0.156,0.99958,High
r4_c6_ev3,0.255,0.99965,High
r4_c6_ev4,0.36001,0.99998,High
r4_c6_ev5,0.392,0.78934,Indeterminant
r4_c6_ev6,0.46299,0.99986,High
r4_c6_ev7,0.566,0.99965,High
r4_c6_ev8,0.67,0.99965,High
r4_c6_ev9,0.74738,0.93219,High
r4_c6_ev10,0.77202,0.9996,High
r4_c6_ev11,0.874,0.99979,High
r4_c6_ev12,0.97805,0.99938,High
r4_c7_ev1,0.22138,0.93185,High
r4_c7_ev2,0.568,0.99963,High
r4_c7_ev3,0.66901,0.9982,High
r4_c7_ev4,0.715,0.78921,Indeterminant
r4_c7_ev5,0.877,0.99964,High
r4_c8_ev1,0.051944,0.99513,High
r4_c8_ev2,0.10841,0.93045,High
r4_c8_ev3,0.15401,0.99962,High
r4_c8_ev4,0.221,0.78893,Indeterminant
r4_c8_ev5,0.25503,0.9994,High
r4_c8_ev6,0.359,0.9996,High
r4_c8_ev7,0.463,0.99973,High
r4_c8_ev8,0.567,0.99969,High
r4_c8_ev9,0.769,0.99969,High
r4_c8_ev10,0.879,0.99937,High
r4_c9_ev1,0.054041,0.9999,High
r4_c9_ev2,0.151,0.9997,High
r4_c9_ev3,0.257,0.99968,High
r4_c9_ev4,0.361,0.99968,High
r4_c9_ev5,0.46499,0.99986,High
r4_c9_ev6,0.503,0.78685,Indeterminant
r4_c9_ev7,0.52135,0.93372,High
r4_c9_ev8,0.56694,0.99901,High
r4_c9_ev9,0.673,0.99969,High
r4_c9_ev10,0.771,0.99962,High
r4_c9_ev11,0.877,0.9996,High
r4_c9_ev12,0.97704,0.99902,High
r5_c1_ev1,0.053077,0.99719,High
r5_c1_ev2,0.157,0.9997,High
r5_c1_ev3,0.261,0.9996,High
r5_c1_ev4,0.361,0.99964,High
r5_c1_ev5,0.563,0.99957,High
r5_c1_ev6,0.673,0.99969,High
r5_c1_ev7,0.772,0.99971,High
r5_c1_ev8,0.87904,0.99959,High
r5_c1_ev9,0.904,0.80266,Indeterminant
r5_c1_ev10,0.90932,0.92689,High
r5_c1_ev11,0.97616,0.9897,High
r5_c2_ev1,0.053124,0.99933,High
r5_c2_ev2,0.15699,0.99966,High
r5_c2_ev3,0.259,0.9996,High
r5_c2_ev4,0.338,0.78988,Indeterminant
r5_c2_ev5,0.36303,0.99875,High
r5_c2_ev6,0.46,0.99964,High
r5_c2_ev7,0.568,0.99966,High
r5_c2_ev8,0.668,0.99963,High
r5_c2_ev9,0.77,0.99945,High
r5_c2_ev10,0.81838,0.93187,High
r5_c2_ev11,0.87601,0.99982,High
r5_c2_ev12,0.98007,0.99963,High
r5_c3_ev1,0.053042,0.99994,High
r5_c3_ev2,0.10638,0.93168,High
r5_c3_ev3,0.15499,0.99963,High
r5_c3_ev4,0.261,0.99968,High
r5_c3_ev5,0.359,0.99967,High
r5_c3_ev6,0.466,0.99962,High
r5_c3_ev7,0.56299,0.99963,High
r5_c3_ev8,0.629,0.78961,Indeterminant
